item_id,category_id
3,1171.0
6,1091.0
15,722.0
16,333.0
17,1265.0
19,1171.0
22,1359.0
25,72.0
26,1503.0
29,1051.0
32,1173.0
33,1526.0
37,
40,160.0
41,1007.0
42,84.0
46,
49,77.0
54,472.0
55,586.0
59,237.0
60,64.0
61,
63,
65,628.0
66,1080.0
68,1091.0
71,977.0
73,1186.0
77,324.0
80,1262.0
87,429.0
88,1511.0
92,924.0
98,535.0
102,242.0
105,1163.0
106,389.0
118,924.0
119,208.0
123,1301.0
124,
128,
133,535.0
134,531.0
135,656.0
137,342.0
138,57.0
139,562.0
142,999.0
143,374.0
144,959.0
147,646.0
151,1445.0
152,1564.0
154,342.0
155,1047.0
162,1680.0
163,407.0
165,1666.0
168,822.0
173,
174,342.0
175,1483.0
181,491.0
185,618.0
189,1639.0
190,1255.0
193,1528.0
195,324.0
199,1163.0
204,1250.0
207,586.0
208,
210,421.0
211,1119.0
212,686.0
216,1404.0
217,637.0
218,438.0
219,1415.0
221,267.0
227,427.0
228,959.0
229,
231,
232,196.0
233,1172.0
234,1346.0
238,
239,
244,730.0
247,1240.0
250,816.0
252,730.0
257,707.0
259,691.0
261,816.0
274,1173.0
276,
282,
284,
291,
299,330.0
300,769.0
301,1378.0
303,282.0
304,618.0
305,707.0
307,1087.0
311,1191.0
312,1172.0
313,242.0
314,1070.0
315,959.0
316,1196.0
317,1247.0
318,741.0
320,282.0
321,1135.0
324,1059.0
326,1085.0
329,1483.0
333,56.0
334,904.0
337,535.0
338,
342,646.0
343,421.0
348,390.0
350,1261.0
354,730.0
361,586.0
362,741.0
363,1051.0
371,1279.0
375,1173.0
376,844.0
377,1244.0
378,
379,921.0
381,792.0
382,769.0
383,
384,
387,1091.0
388,1258.0
391,1231.0
393,1047.0
394,209.0
396,51.0
402,1312.0
403,411.0
404,531.0
405,1.0
406,1265.0
407,
409,1171.0
410,1231.0
412,1018.0
415,1051.0
416,
417,
428,1598.0
433,1680.0
441,1135.0
442,
447,523.0
449,
452,619.0
456,1091.0
460,1421.0
461,330.0
463,
464,1172.0
465,1135.0
466,196.0
474,1084.0
477,1474.0
480,769.0
481,1192.0
482,1483.0
484,1387.0
485,1248.0
490,452.0
492,963.0
493,173.0
495,1447.0
496,707.0
498,1375.0
499,
502,1078.0
506,1407.0
508,1279.0
510,1535.0
523,789.0
525,1142.0
534,1500.0
536,619.0
538,706.0
541,
542,130.0
545,
546,1349.0
547,1113.0
549,586.0
550,633.0
552,219.0
556,249.0
559,1279.0
563,1163.0
565,1338.0
566,1542.0
568,1385.0
572,1135.0
573,1248.0
578,1395.0
588,1318.0
594,683.0
596,414.0
602,1421.0
605,959.0
609,1261.0
610,173.0
611,1070.0
612,
615,1051.0
617,1255.0
618,1404.0
623,126.0
625,342.0
626,48.0
627,646.0
630,1475.0
631,1172.0
632,1250.0
633,589.0
635,1073.0
638,769.0
639,
649,248.0
651,1196.0
655,224.0
656,230.0
659,
660,997.0
661,1483.0
662,808.0
666,1142.0
667,1634.0
668,1017.0
669,1355.0
671,242.0
672,1085.0
676,549.0
677,858.0
678,1387.0
683,1244.0
684,
688,
689,430.0
691,
693,792.0
696,1483.0
697,242.0
698,633.0
700,
703,1474.0
706,126.0
708,1007.0
709,1114.0
714,1088.0
720,1135.0
724,1388.0
726,1070.0
733,799.0
735,
737,624.0
743,895.0
746,1221.0
749,414.0
753,
754,58.0
756,
762,844.0
763,29.0
764,1018.0
766,1355.0
779,769.0
780,1474.0
786,799.0
787,
788,
794,
795,1163.0
799,217.0
801,1275.0
816,
818,459.0
819,619.0
821,1098.0
822,1511.0
823,1421.0
827,47.0
829,707.0
832,1542.0
834,209.0
835,806.0
836,1617.0
839,959.0
844,224.0
845,769.0
846,1338.0
850,1514.0
852,
854,
856,496.0
857,1298.0
860,199.0
862,1298.0
863,686.0
867,65.0
869,1650.0
872,624.0
873,
875,1638.0
877,1541.0
882,124.0
885,84.0
886,
890,289.0
901,
907,694.0
908,
909,466.0
910,988.0
911,1672.0
917,1404.0
919,730.0
920,
941,
942,589.0
944,1343.0
948,1070.0
953,
955,1333.0
956,1279.0
958,1432.0
960,248.0
962,730.0
963,5.0
967,1567.0
968,
971,1337.0
976,1003.0
981,
982,274.0
983,342.0
984,77.0
985,1504.0
986,1421.0
987,
988,50.0
989,208.0
991,1106.0
997,333.0
998,1578.0
1000,
1002,
1003,936.0
1004,48.0
1007,
1011,1135.0
1013,988.0
1022,1011.0
1027,1675.0
1028,565.0
1030,1061.0
1033,1483.0
1035,1404.0
1039,1233.0
1043,
1044,130.0
1045,769.0
1046,0.0
1049,5.0
1050,
1054,808.0
1062,228.0
1068,1135.0
1071,1163.0
1073,842.0
1077,1404.0
1079,799.0
1080,242.0
1087,1007.0
1090,1421.0
1094,1504.0
1096,1163.0
1109,
1115,1493.0
1117,4.0
1118,84.0
1125,242.0
1129,1483.0
1131,806.0
1134,1173.0
1138,
1140,126.0
1142,84.0
1145,1250.0
1147,575.0
1148,1248.0
1151,619.0
1152,1051.0
1154,209.0
1157,1250.0
1158,
1161,274.0
1162,988.0
1164,421.0
1166,
1167,
1171,438.0
1175,1511.0
1179,1051.0
1180,1462.0
1181,333.0
1183,434.0
1186,
1189,387.0
1190,
1196,337.0
1205,988.0
